pais,año,mes,precio_predicho
ecuador,2025,1,5271.397666068599
ecuador,2025,2,5080.947483797161
ecuador,2025,3,4903.639727593898
ecuador,2025,4,4834.370238905564
ecuador,2025,5,7092.190090321405
ecuador,2025,6,4733.293730636011
ecuador,2025,7,4641.831878826168
ecuador,2025,8,5532.777542658317
ecuador,2025,9,5473.983842668155
ecuador,2025,10,5622.48535924469
ecuador,2025,11,5524.665809338442
ecuador,2025,12,5461.496988519585
colombia,2025,1,6238.688392210817
colombia,2025,2,6271.255065119655
colombia,2025,3,6276.999136308478
colombia,2025,4,6620.697460891081
colombia,2025,5,6360.331752267063
colombia,2025,6,6593.9675568083185
colombia,2025,7,6281.185666833241
colombia,2025,8,6678.141910107064
colombia,2025,9,6384.473713813992
colombia,2025,10,6736.726971573228
colombia,2025,11,6856.570659873535
colombia,2025,12,6944.457530678107
ghana,2025,1,2840.681263643887
ghana,2025,2,2908.0558873564923
ghana,2025,3,2867.5287784097795
ghana,2025,4,2982.8173074426413
ghana,2025,5,2912.512613316288
ghana,2025,6,3024.8846780369686
ghana,2025,7,2973.537914547501
ghana,2025,8,2997.597751143643
ghana,2025,9,2987.7396845733315
ghana,2025,10,3143.6003694775727
ghana,2025,11,3199.6649511767077
ghana,2025,12,3214.251407062608
costa de marfil,2025,1,3442.2139313786315
costa de marfil,2025,2,3598.3508306856093
costa de marfil,2025,3,3471.7806733128773
costa de marfil,2025,4,3608.900545766974
costa de marfil,2025,5,3488.864096234368
costa de marfil,2025,6,3562.532503212049
costa de marfil,2025,7,3606.3267615683626
costa de marfil,2025,8,3635.191161969131
costa de marfil,2025,9,3638.9778808866195
costa de marfil,2025,10,3649.9111731005196
costa de marfil,2025,11,3800.9228590229445
costa de marfil,2025,12,3889.654397329757
