año,mes,precio_predicho
2025,1,10412.18571
2025,2,7869.378634769077
2025,3,8351.99547949366
2025,4,9085.067164377437
2025,5,8662.758291759204
2025,6,8908.338839480093
2025,7,8734.569142917058
2025,8,8744.614174975497
2025,9,8775.359716708823
2025,10,8917.238041086199
2025,11,9402.197615303914
2025,12,10107.627635211957
2026,1,10017.536390991572
2026,2,10231.21738823795
2026,3,10450.264782975715
2026,4,10754.595423108789
2026,5,10702.015053849485
2026,6,10881.889684662554
2026,7,10966.048346057541
2026,8,11068.850480972444
2026,9,11196.492717980938
2026,10,11338.829398221063
2026,11,11624.829260973085
2026,12,11901.990618758613
2027,1,11757.33982924309
2027,2,11920.077365232693
2027,3,12074.422736211654
2027,4,12271.373368090131
2027,5,12317.682394618347
2027,6,12483.959971770499
2027,7,12638.12650721561
2027,8,12768.26757750444
2027,9,12924.318137016882
2027,10,13070.150078568051
2027,11,13308.129233519947
2027,12,13478.032157570051
